;cust_id;birth_date;age;acct_amount;inv_amount;fund_A;fund_B;fund_C;fund_D;account_opened;last_transaction
0;870A9281;9/6/1962;58;63523.31;51295;30105;4138;;1420;15632;2/9/2018;22/2/2019
1;166B05B0;16/12/1962;58;38175.46;15050;4995;938;;6696;2421;28/2/2019;31/10/2018
2;BFC13E88;12/9/1990;30;59863.77;24567;10323;4590;;8469;1185;25/4/2018;2/4/2018
3;F2158F66;3/11/1985;35;84132.1;23712;3908;492;;6482;12830;7/11/2017;8/11/2018
4;7A73F334;17/5/1990;36;120512;93230;12158.4;51281;;13434;18383;14/5/2018;19/7/2018
5;472341F2;23/2/1980;40;83127.65;67960;12686;19776;;23707;11791;14/12/2018;22/4/2018
6;6B094617;26/8/1977;49;89855.98;34549;1796;312;;20610;11831;6/2/2018;14/2/2019
7;80C0DAB3;14/10/1963;57;73951.45;61649;15290;3991;;36728;5640;3/4/2017;21/9/2019
8;E52D4C7F;5/6/1975;45;61795.89;49385;12939;7757;;12569;16120;22/5/2017;24/10/2019
9;BD7CF5D7;4/1/1965;55;82084.76;44338;18966;523;;4903;19946;18/7/2017;26/2/2020
10;93F2F951;2/7/1982;38;93875.24;76562;29593;34379;;4268;8322;21/8/2017;10/7/2019
11;DE0A0882;8/10/1966;54;99998.35;18667;2156;2891;;4476;9144;5/6/2017;15/1/2019
12;EEBD980F;20/11/1990;36;57838.49;50812;18314;1477;;29049.48;5539;8/12/2018;4/1/2020
13;7D8EBAF6;22/11/1975;45;109943;81488;30856;2170;;20410;28052;2/7/2017;22/2/2020
14;987DC93E;13/3/1978;42;35924.41;14880;182;5064;;3028;6606;30/12/2018;6/12/2018
15;3C5CBBD7;20/5/1971;49;59678.01;35937;4133;8540;;9595;13669;3/1/2019;2/10/2018
16;9A9BB390;10/10/1978;42;83653.09;44654;8117;8777;;15380;12380;15/8/2018;18/1/2019
17;984403B9;30/1/1983;37;17939.88;14427;6286;1050;;3690;3401;7/10/2017;18/5/2018
18;C9FB0E86;4/10/1965;55;88682.34;26164;5504;4063;;5602;10995;19/5/2018;6/8/2019
19;DEB87C87;28/7/1993;27;64944.62;31801;11828;13372;;1039;5562;20/3/2018;15/11/2019
20;1903EB99;3/12/1962;58;24267.02;22961;2930;7216;;1035;11780;17/3/2017;21/11/2018
21;2C5901B4;7/2/1962;58;250046.8;90440;14097;41086;;18851;16406;5/2/2018;11/7/2019
22;96525DA6;23/11/1992;28;82511.24;33927;8206;15019;;5559.6;6182;23/7/2018;7/8/2018
23;A1815565;27/9/1968;52;82996.04;30897;16092;5491;;5098;4216;7/11/2017;30/9/2019
24;EC10469C;25/3/1992;28;73618.75;48977;2808;22831;;958;22380;27/12/2018;8/6/2018
25;296A9395;2/5/1984;36;34679.6;28459;4676;7349;;10075;6359;24/12/2017;19/2/2019
26;1B55AA1C;9/10/1992;28;71782.2;35474;3881;11981;;13750;5862;29/1/2019;22/11/2019
27;B40E8497;27/8/1981;39;99771.9;86990;3015;48358;;11091;24526;16/5/2017;5/1/2020
28;E2EFF324;10/3/1989;31;67297.46;57250;1451;13278;;33158;9363;27/4/2018;10/7/2018
29;D3287768;31/7/1989;31;89961.77;84214;58179;6874;;6222;12939;3/9/2018;19/10/2018
30;A69FA1B8;29/7/1967;53;75207.99;31619;2515;1149;;15567;12388;23/2/2019;9/9/2019
31;8C35540A;10/2/1987;33;44244.71;35498;3193;15847;;6908;9550;3/5/2018;30/9/2019
32;8D08495A;14/8/1961;59;89138.52;60795;53880;1325;;2105;3485;8/8/2018;5/2/2019
33;B5D367B5;12/2/1981;39;44226.86;36571;1280;8191;;3462;23638;16/9/2017;3/4/2019
34;EC189A55;5/2/1986;34;83343.18;7281;2715;2949;;1072;545;4/2/2019;31/12/2018
35;078C654F;17/10/1993;27;87312.64;66529;3684;17635;;11717;33493;14/4/2017;5/8/2018
36;2AB6539A;28/8/1984;36;53796.13;12400;935;617;;9606;1242;3/1/2019;17/11/2018
37;FA01676F;23/8/1962;58;66947.3;52549;12800;30024;;2082;7643;10/8/2018;23/7/2019
38;4A13E345;19/4/1989;31;84107.71;4216;985;1008;;667;1556;17/9/2018;9/2/2019
39;014E0511;13/3/1972;48;70272.97;65968;23849;23025;;2802;16292;9/2/2019;22/5/2019
40;777A7F2C;12/8/1973;47;52684.17;20968;380;2402;;14612;3574;27/10/2018;25/5/2019
41;2EC1B555;17/3/1974;46;55976.78;51477;8303;24112;;15776;3286;5/12/2017;21/10/2019
42;E7389E60;13/1/1989;37;86028.48;48085;5731;10608;;26502;5244;4/6/2017;7/8/2018
43;38B8CD9C;25/6/1970;50;28834.71;27531;314;6072.28;;14163;7908;17/9/2018;5/2/2020
44;D4C7E817;14/5/1992;28;26585.87;20440;9109;6706;;2343;2282;6/5/2018;8/12/2018
45;7A4EED75;5/6/1975;45;98923.14;20931;10107;393;;423;10008;28/11/2017;1/5/2019
46;ACE5C956;26/12/1989;31;90413.25;21572;6087;4387;;879;10219;29/12/2018;30/4/2019
47;68C55974;8/7/1962;58;95038.14;66796;33764;5042;;10659;19237.41;3/4/2018;25/9/2018
48;72DD1471;29/5/1963;57;100683.5;87881;913;13798;;72674;496;22/1/2018;17/5/2018
49;0F0884F6;20/6/1961;59;84505.81;47824;8063;1165;;38319;277;8/3/2018;24/8/2019
50;DEC6DBE4;1/2/1979;41;32220.83;3214;239;965;;1189;821;9/8/2018;17/11/2019
51;25E68E1B;8/12/1971;49;109737.6;93550;38641;4210;;29761;20938;26/12/2017;12/11/2018
52;A631984D;27/2/1978;42;77799.33;46410;2188;35508;;331;8383;26/1/2018;6/10/2019
53;82E87321;12/11/1992;28;97833.54;61481;25595;7987;;14098;13801;18/10/2018;21/7/2018
54;2F4F99C1;19/12/1988;32;82058.48;35758;6129;16840;;10397;2392;30/12/2018;11/8/2018
55;625167AC;15/1/1991;29;95315.71;66912;5665;30304;;26767;4176;8/6/2017;3/7/2019
56;EC7C25A8;24/8/1972;48;86503.33;49178;23253;14273;;67;11585;8/6/2017;2/4/2018
57;F389832C;29/6/1974;46;95380.06;58386;8992;19294;;5106;24994;3/2/2018;23/9/2018
58;A81D31B3;10/4/1970;50;74010.15;48785;23761;4039;;15610;5375;2/6/2018;12/9/2018
59;3B240FEF;30/3/1968;52;97856.46;64838;13521;13303;;8336;29678;23/5/2018;11/10/2018
60;5AEA5AB8;24/10/1972;48;100267;89341;41;13870;;60112;15318;9/6/2018;3/7/2019
61;45F31C81;12/1/1975;45;120675300;94608;15416;18845;;20325;40022;5/11/2018;25/12/2019
62;93A17007;23/8/1991;29;40651.36;9386;627;1044;;4064;3651;28/5/2017;8/3/2019
63;0B44C3F8;20/2/1975;45;33984.87;31393;10373;5583;;1669;13768;10/4/2018;28/9/2019
64;5321D380;30/4/1982;38;59700.08;8143;117;1198;;409;6419;9/10/2018;4/2/2019
65;0A9BA907;21/9/1966;54;90469.53;70171;28615;21720.05;;11906;10763;15/6/2018;28/8/2018
66;807465A4;29/7/1983;37;28827.59;14584;2485;1260;;1464;9375;20/4/2017;31/7/2018
67;AC2AEAC4;4/10/1990;30;88440.54;63330;14710;26855;;19757;2008;12/3/2018;1/8/2019
68;C55C54A8;7/7/1967;53;79630.02;25248;4717;4516;;2328;13687;30/10/2018;19/2/2019
69;E961CA44;26/2/1992;28;27907.16;10966;995;3491;;5476;1004;23/10/2017;11/7/2019
70;58F8CC80;4/12/1988;32;87146.19;25758;2126;11594;;1070;10968;18/10/2018;10/1/2019
71;0109137B;2/3/1969;51;31730.19;21957;6511;2004;;11007;2435;20/4/2018;8/7/2019
72;B25B3B8D;12/12/1972;48;99193.98;83362;26237;21745;;18440;16940;28/4/2018;4/7/2019
73;3E51A395;14/3/1974;46;21757.14;10581;1383;5033;;846;3319;4/6/2017;22/9/2018
74;904A19DD;18/2/1987;33;31981.36;13188;9599;858;;1083;1648;28/1/2019;23/6/2019
75;8B359102;16/8/1974;46;173743100;96614;18634;1763;;75499;718;4/6/2018;20/6/2019
76;CEC1CAE5;2/2/1976;44;92169.14;77894;45362;17808;;12714;2010;26/11/2017;8/10/2018
77;46351200;31/5/1980;40;97595.3;82248;26541;27491;;1846;26370;18/8/2018;20/2/2020
78;F7FC8F78;7/5/1974;46;88049.82;84430;4590;24786;;3346;51708;28/2/2018;30/4/2018
79;3FA9296D;7/5/1972;48;79744.23;70355;1185;10443;;35762;22965;21/6/2018;24/8/2018
80;FBAD3C91;27/8/1970;50;99141.9;13466;260;10152;;2936;118;29/5/2018;2/11/2019
81;7A2879AF;22/12/1991;29;83345.15;45161;27172;11937;;1715;4337;30/8/2018;9/11/2019
82;19C86773;23/2/1973;47;63182.57;62691;16863;12793;;12612;20423;9/5/2018;26/1/2020
83;33CA2B76;31/12/1963;57;75508.61;27006;13265;5750;;564;7427;16/11/2017;3/3/2019
84;4C7F8638;19/12/1973;47;21942.37;11713;1340;3676;;264;6433;14/7/2018;2/2/2019
85;7539C3B7;14/5/1974;46;1077557;91190;32692;30405;;14728;13365;23/8/2017;7/6/2019
86;9B550FD5;30/1/1974;46;32891.31;11991;7938;3077;;805;171;2/5/2018;27/6/2019
87;5F6A2443;6/3/1968;52;98047.16;76215;25087;10060;;21893;19175;15/12/2018;12/11/2019
88;D5536652;3/4/1967;53;86506.85;81920;28722;29798;;6572;16828;21/1/2018;14/1/2019
89;C580AE41;1/6/1968;52;96673.37;68466;8489.36;28592;;2439;30419;28/9/2018;17/9/2018
90;56D310A8;9/11/1984;36;88660.4;62307;40694;15792;;5342;479;25/2/2018;29/7/2018
91;87FDF627;5/4/1974;46;95275.46;55887;2360;25434;;21229;6864;26/2/2019;25/6/2018
92;A07D5C92;20/9/1990;30;99577.36;60407;6467;20861;;9861;26004.16;17/11/2017;16/1/2020
93;B6F69B7A;26/8/1963;57;92007.12;22052;1734;12765;;3236;4317;29/7/2018;10/2/2020
94;A731C34E;3/6/1961;59;95352.02;84065;12061;15742;;35725;20537;13/11/2017;13/1/2019
95;CA507BA1;10/8/1974;46;12209.84;7515;190;931;;1451;4943;26/5/2018;11/9/2019
96;B99CD662;12/12/1989;31;92838.44;49089;2453;7892;;31486;7258;4/5/2017;12/3/2019
97;13770971;29/11/1984;36;92750.87;27962;3352;7547;;8486;8577;16/8/2017;24/4/2019
98;93E78DA3;14/12/1969;51;41942.23;29662;1758;11174;;11650;5080;9/10/2017;15/4/2018
99;AC91D689;18/5/1993;27;99490.61;32149;2184;17918;;6714;5333;1/8/2017;4/8/2019
