,team,player_number,club,position,fifa_name,birth,name,height,weight
0,Argentina,1,Tigres UANL (MEX),GK,GUZMAN Nahuel,1986-10-02,GUZMÁN,192,90
1,Argentina,2,Sevilla FC (ESP),DF,MERCADO Gabriel,1987-03-18,MERCADO,181,81
2,Argentina,3,AFC Ajax (NED),DF,TAGLIAFICO Nicolas,1992-08-31,TAGLIAFICO,169,65
3,Argentina,4,Torino FC (ITA),DF,ANSALDI Cristian,1986-09-20,ANSALDI,181,73
4,Argentina,5,AC Milan (ITA),MF,BIGLIA Lucas,1986-01-30,BIGLIA,175,73
5,Argentina,6,AS Roma (ITA),DF,FAZIO Federico,1987-03-17,FAZIO,199,85
6,Argentina,7,Sevilla FC (ESP),MF,BANEGA Ever,1988-06-29,BANEGA,175,73
7,Argentina,8,Sporting CP (POR),DF,ACUNA Marcos,1991-10-28,ACUÑA,172,77
8,Argentina,9,Juventus FC (ITA),FW,HIGUAIN Gonzalo,1987-10-12,HIGUAÍN,184,75
9,Argentina,10,FC Barcelona (ESP),FW,MESSI Lionel,1987-06-24,MESSI,170,72
10,Argentina,11,Paris Saint-Germain FC (FRA),MF,DI MARIA Angel,1988-02-14,DI MARÍA,178,75
11,Argentina,12,CA River Plate (ARG),GK,ARMANI Franco,1986-10-16,ARMANI,189,85
12,Argentina,13,CA Independiente (ARG),MF,MEZA Maximiliano,1992-12-15,MEZA,180,76
13,Argentina,14,Hebei China Fortune FC (CHN),DF,MASCHERANO Javier,1984-08-06,MASCHERANO,174,73
14,Argentina,15,West Ham United FC (ENG),MF,LANZINI Manuel,1993-02-15,LANZINI,167,66
15,Argentina,16,Manchester United FC (ENG),DF,ROJO Marcos,1990-03-20,ROJO,189,82
16,Argentina,17,Manchester City FC (ENG),DF,OTAMENDI Nicolas,1988-12-02,OTAMENDI,181,81
17,Argentina,18,SL Benfica (POR),DF,SALVIO Eduardo,1990-07-13,SALVIO,167,69
18,Argentina,19,Manchester City FC (ENG),FW,AGUERO Sergio,1988-02-06,AGÜERO,172,74
19,Argentina,20,Paris Saint-Germain FC (FRA),MF,LO CELSO Giovani,1996-09-04,LO CELSO,177,75
20,Argentina,21,Juventus FC (ITA),FW,DYBALA Paulo,1993-11-15,DYBALA,177,73
21,Argentina,22,CA Boca Juniors (ARG),MF,PAVON Cristian,1996-01-21,PAVÓN,169,65
22,Argentina,23,Chelsea FC (ENG),GK,CABALLERO Wilfredo,1981-09-28,CABALLERO,186,80
23,Australia,1,Brighton & Hove Albion FC (ENG),GK,RYAN Mathew,1992-08-04,RYAN,184,82
24,Australia,2,Yokohama F-Marinos (JPN),DF,DEGENEK Milos,1994-04-28,DEGENEK,187,85
25,Australia,3,Millwall FC (ENG),DF,MEREDITH James,1988-05-04,MEREDITH,179,71
26,Australia,4,Millwall FC (ENG),FW,CAHILL Tim,1979-06-12,CAHILL,180,76
27,Australia,5,Al Ahli SC (KSA),DF,MILLIGAN Mark,1985-04-08,MILLIGAN,178,78
28,Australia,6,Suwon Samsung Bluewings FC (KOR),DF,JURMAN Matthew,1989-08-12,JURMAN,190,83
29,Australia,7,Hertha BSC (GER),FW,LECKIE Mathew,1991-04-02,LECKIE,181,84
30,Australia,8,Queens Park Rangers FC (ENG),MF,LUONGO Massimo,1992-09-25,LUONGO,176,76
31,Australia,9,FC Luzern (SUI),FW,JURIC Tomi,1991-07-22,JURIC,190,80
32,Australia,10,VfL Bochum (GER),FW,KRUSE Robbie,1988-05-10,KRUSE,180,66
33,Australia,11,Urawa Reds (JPN),FW,NABBOUT Andrew,1992-12-17,NABBOUT,178,85
34,Australia,12,Feyenoord Rotterdam (NED),GK,JONES Brad,1982-03-19,JONES,193,87
35,Australia,13,Huddersfield Town FC (ENG),MF,MOOY Aaron,1990-09-15,MOOY,173,72
36,Australia,14,Hibernian FC (SCO),FW,MacLAREN Jamie,1993-07-29,MACLAREN,178,72
37,Australia,15,Aston Villa FC (ENG),MF,JEDINAK Mile,1984-03-08,JEDINAK,188,78
38,Australia,16,Bursaspor (TUR),DF,BEHICH Aziz,1990-12-16,BEHICH,170,63
39,Australia,17,Melbourne City FC (AUS),FW,ARZANI Daniel,1999-04-01,ARZANI,171,73
40,Australia,18,KRC Genk (BEL),GK,VUKOVIC Danny,1985-03-27,VUKOVIC,187,94
41,Australia,19,WS Wanderers FC (AUS),DF,RISDON Joshua,1992-07-27,RISDON,169,70
42,Australia,20,Grasshopper Club (SUI),DF,SAINSBURY Trent,1992-05-01,SAINSBURY,183,76
43,Australia,21,Newcastle United Jets FC (AUS),FW,PETRATOS Dimitrios,1992-10-11,PETRATOS,176,72
44,Australia,22,Hull City FC (ENG),MF,IRVINE Jackson,1993-07-03,IRVINE,180,77
45,Australia,23,Celtic FC (SCO),MF,ROGIC Tom,1992-12-16,ROGIC,189,88
46,Belgium,1,Chelsea FC (ENG),GK,COURTOIS Thibaut,1992-11-05,COURTOIS,199,91
47,Belgium,2,Tottenham Hotspur FC (ENG),DF,ALDERWEIRELD Toby,1989-02-03,ALDERWEIRELD,186,81
48,Belgium,3,FC Barcelona (ESP),DF,VERMAELEN Thomas,1985-11-14,VERMAELEN,183,80
49,Belgium,4,Manchester City FC (ENG),DF,KOMPANY Vincent,1986-10-04,KOMPANY,190,85
50,Belgium,5,Tottenham Hotspur FC (ENG),DF,VERTONGHEN Jan,1987-04-24,VERTONGHEN,189,86
51,Belgium,6,Tianjin Quanjian FC (CHN),MF,WITSEL Axel,1989-12-01,WITSEL,186,73
52,Belgium,7,Manchester City FC (ENG),MF,DE BRUYNE Kevin,1991-06-28,DE BRUYNE,181,70
53,Belgium,8,Manchester United FC (ENG),MF,FELLAINI Marouane,1987-11-22,FELLAINI,194,85
54,Belgium,9,Manchester United FC (ENG),FW,LUKAKU Romelu,1993-05-13,R. LUKAKU,190,94
55,Belgium,10,Chelsea FC (ENG),FW,HAZARD Eden,1991-07-01,E. HAZARD,173,74
56,Belgium,11,Dalian Yifang FC (CHN),MF,CARRASCO Yannick,1993-04-09,CARRASCO,180,67
57,Belgium,12,Liverpool FC (ENG),GK,MIGNOLET Simon,1988-06-03,MIGNOLET,193,87
58,Belgium,13,VfL Wolfsburg (GER),GK,CASTEELS Koen,1992-06-25,CASTEELS,197,86
59,Belgium,14,SSC Napoli (ITA),FW,MERTENS Dries,1987-06-05,MERTENS,169,61
60,Belgium,15,Paris Saint-Germain FC (FRA),DF,MEUNIER Thomas,1991-12-09,MEUNIER,190,88
61,Belgium,16,VfL Borussia Mönchengladbach (GER),MF,HAZARD Thorgan,1993-03-29,T. HAZARD,174,70
62,Belgium,17,AS Monaco (FRA),MF,TIELEMANS Youri,1997-07-05,TIELEMANS,176,72
63,Belgium,18,Real Sociedad (ESP),FW,JANUZAJ Adnan,1995-05-02,JANUZAJ,180,75
64,Belgium,19,Tottenham Hotspur FC (ENG),MF,DEMBELE Moussa,1987-07-16,DEMBELE,185,82
65,Belgium,20,Celtic FC (SCO),DF,BOYATA Dedryck,1990-11-28,BOYATA,188,84
66,Belgium,21,Borussia Dortmund (GER),FW,BATSHUAYI Michy,1993-02-10,BATSHUAYI,185,78
67,Belgium,22,West Bromwich Albion FC (ENG),MF,CHADLI Nacer,1989-02-08,CHADLI,187,85
68,Belgium,23,RSC Anderlecht (BEL),DF,DENDONCKER Leander,1995-04-15,DENDONCKER,188,76
69,Brazil,1,AS Roma (ITA),GK,ALISSON,1992-02-10,A. BECKER,193,91
70,Brazil,2,Paris Saint-Germain FC (FRA),DF,THIAGO SILVA,1984-09-22,T. SILVA,183,79
71,Brazil,3,FC Internazionale (ITA),DF,MIRANDA,1984-07-09,MIRANDA,186,78
72,Brazil,4,Grêmio FBPA (BRA),DF,PEDRO GEROMEL,1985-09-21,GEROMEL,190,84
73,Brazil,5,Real Madrid CF (ESP),MF,CASEMIRO,1992-02-23,CASEMIRO,185,84
74,Brazil,6,Atletico Madrid (ESP),DF,FILIPE LUIS,1985-09-08,FILIPE LUIS,182,73
75,Brazil,7,Juventus FC (ITA),FW,DOUGLAS COSTA,1990-09-14,D. COSTA,182,70
76,Brazil,8,Beijing Guoan (CHN),MF,RENATO AUGUSTO,1988-08-02,R. AUGUSTO,186,86
77,Brazil,9,Manchester City FC (ENG),FW,GABRIEL JESUS,1997-03-04,G. JESUS,175,73
78,Brazil,10,Paris Saint-Germain FC (FRA),FW,NEYMAR,1992-05-02,NEYMAR JR,175,68
79,Brazil,11,FC Barcelona (ESP),MF,PHILIPPE COUTINHO,1992-12-06,P. COUTINHO,172,68
80,Brazil,12,Real Madrid CF (ESP),DF,MARCELO,1988-12-05,MARCELO,174,80
81,Brazil,13,Paris Saint-Germain FC (FRA),DF,MARQUINHOS,1994-05-14,MARQUINHOS,183,75
82,Brazil,14,Manchester City FC (ENG),DF,DANILO,1991-07-15,DANILO,184,78
83,Brazil,15,FC Barcelona (ESP),MF,PAULINHO,1988-07-25,PAULINHO,181,81
84,Brazil,16,SC Corinthians (BRA),GK,CASSIO,1987-06-06,CASSIO,195,92
85,Brazil,17,Manchester City FC (ENG),MF,FERNANDINHO,1985-04-05,FERNANDINHO,179,67
86,Brazil,18,FC Shakhtar Donetsk (UKR),MF,FRED,1993-05-03,FRED,169,64
87,Brazil,19,Chelsea FC (ENG),MF,WILLIAN,1988-09-08,WILLIAN,175,77
88,Brazil,20,Liverpool FC (ENG),FW,ROBERTO FIRMINO,1991-02-10,FIRMINO,181,76
89,Brazil,21,FC Shakhtar Donetsk (UKR),FW,TAISON,1988-01-13,TAISON,172,64
90,Brazil,22,SC Corinthians (BRA),DF,FAGNER,1989-11-06,FAGNER,168,67
91,Brazil,23,Manchester City FC (ENG),GK,EDERSON,1993-08-17,EDERSON,188,86
92,Colombia,1,Arsenal FC (ENG),GK,OSPINA David,1988-08-31,OSPINA,183,80
93,Colombia,2,AC Milan (ITA),DF,ZAPATA Cristian,1986-09-30,C. ZAPATA,187,82
94,Colombia,3,CF Pachuca (MEX),DF,MURILLO Oscar,1988-04-18,O. MURILLO,184,80
95,Colombia,4,PSV Eindhoven (NED),DF,ARIAS Santiago,1992-01-13,ARIAS,177,71
96,Colombia,5,CA Boca Juniors (ARG),MF,BARRIOS  Wilmar,1993-10-16,BARRIOS,178,74
97,Colombia,6,RCD Espanyol (ESP),MF,SANCHEZ Carlos,1986-06-02,C. SANCHEZ,182,82
98,Colombia,7,Villarreal CF (ESP),FW,BACCA Carlos,1986-08-09,BACCA,181,77
99,Colombia,8,AC Deportivo Cali (COL),MF,AGUILAR Abel,1985-06-01,AGUILAR T.,185,82
100,Colombia,9,AS Monaco (FRA),FW,FALCAO Radamel,1986-10-02,FALCAO,177,72
101,Colombia,10,FC Bayern München (GER),MF,RODRIGUEZ James,1991-12-07,JAMES,180,75
102,Colombia,11,Juventus FC (ITA),MF,CUADRADO Juan,1988-05-26,CUADRADO,179,72
103,Colombia,12,AC Deportivo Cali (COL),GK,VARGAS Camilo,1989-09-03,C. VARGAS,185,80
104,Colombia,13,FC Barcelona (ESP),DF,MINA Yerry,1994-09-23,Y. MINA,194,95
105,Colombia,14,Sevilla FC (ESP),FW,MURIEL Luis,1991-04-16,L. MURIEL,178,79
106,Colombia,15,Club América (MEX),MF,URIBE Mateus,1991-03-21,M. URIBE,182,71
107,Colombia,16,Levante UD (ESP),MF,LERMA Jefferson,1994-10-25,J. LERMA,179,70
108,Colombia,17,Girona FC (ESP),DF,MOJICA Johan,1992-08-21,J. MOJICA,185,66
109,Colombia,18,CA Boca Juniors (ARG),DF,FABRA Frank,1991-02-22,FABRA,172,72
110,Colombia,19,SE Palmeiras (BRA),FW,BORJA Miguel,1993-01-26,M. BORJA,183,74
111,Colombia,20,CA River Plate (ARG),MF,QUINTERO Juan,1993-01-18,J. QUINTERO,169,64
112,Colombia,21,Brighton & Hove Albion FC (ENG),FW,IZQUIERDO Jose,1992-07-07,IZQUIERDO,171,73
113,Colombia,22,CD Once Caldas (COL),GK,CUADRADO Jose,1985-01-06,J.F. CUADRADO,180,80
114,Colombia,23,Tottenham Hotspur FC (ENG),DF,SANCHEZ Davinson,1996-12-06,D. SANCHEZ,187,81
115,Costa Rica,1,Real Madrid CF (ESP),GK,NAVAS Keylor,1986-12-15,K. NAVAS,185,80
116,Costa Rica,2,Rionegro Águilas (COL),DF,ACOSTA Johnny,1983-07-21,J. ACOSTA,176,75
117,Costa Rica,3,Bologna FC (ITA),DF,GONZALEZ Giancarlo,1988-08-02,G. GONZALEZ,186,78
118,Costa Rica,4,IFK Norrkoping FK (SWE),DF,SMITH Ian,1998-06-03,I. SMITH,177,68
119,Costa Rica,5,Deportivo La Coruña (ESP),MF,BORGES Celso,1988-05-27,C. BORGES,187,79
120,Costa Rica,6,RCD Espanyol (ESP),DF,DUARTE Oscar,1989-03-06,O. DUARTE,186,81
121,Costa Rica,7,Deportivo Saprissa (CRC),MF,BOLANOS Christian,1984-05-17,C. BOLAÑOS,178,67
122,Costa Rica,8,Sunderland AFC (ENG),DF,OVIEDO Bryan,1990-02-18,B. OVIEDO,172,70
123,Costa Rica,9,Deportivo Saprissa (CRC),MF,COLINDRES Daniel,1985-10-01,D. COLINDRES,180,75
124,Costa Rica,10,Sporting CP (POR),MF,RUIZ Bryan,1985-08-18,BRYAN,187,73
125,Costa Rica,11,Deportivo Saprissa (CRC),FW,VENEGAS Johan,1988-11-27,J. VENEGAS,183,76
126,Costa Rica,12,Real Betis (ESP),FW,CAMPBELL Joel,1992-06-26,J. CAMPBELL,178,71
127,Costa Rica,13,New York City FC (USA),MF,WALLACE Rodney,1988-06-17,R. WALLACE,180,70
128,Costa Rica,14,CS Herediano (CRC),MF,AZOFEIFA Randall,1984-12-30,R. AZOFEIFA,182,83
129,Costa Rica,15,Minnesota United FC (USA),DF,CALVO Francisco,1992-08-07,F. CALVO,180,78
130,Costa Rica,16,Celtic FC (SCO),DF,GAMBOA Cristian,1989-10-24,C. GAMBOA,175,67
131,Costa Rica,17,FC Lausanne-Sport (SUI),MF,TEJEDA Yeltsin,1992-03-17,Y. TEJEDA,179,67
132,Costa Rica,18,LD Alajuelense (CRC),GK,PEMBERTON Patrick,1982-04-24,P. PEMBERTON,178,72
133,Costa Rica,19,Vancouver Whitecaps FC (CAN),DF,WASTON Kendall,1988-01-01,K. WASTON,196,87
134,Costa Rica,20,Portland Timbers (USA),MF,GUZMAN David,1990-02-18,D. GUZMAN,176,78
135,Costa Rica,21,Los Angeles FC (USA),FW,URENA Marcos,1990-05-03,M. UREÑA,181,70
136,Costa Rica,22,New York City FC (USA),DF,MATARRITA Ronald,1994-09-07,R. MATARRITA,175,70
137,Costa Rica,23,CS Herediano (CRC),GK,MOREIRA Leonel,1990-02-04,L. MOREIRA,179,70
138,Croatia,1,GNK Dinamo Zagreb (CRO),GK,LIVAKOVIC Dominik,1995-09-01,LIVAKOVIĆ,188,82
139,Croatia,2,Atletico Madrid (ESP),DF,VRSALJKO Sime,1992-10-01,VRSALJKO,181,76
140,Croatia,3,UC Sampdoria (ITA),DF,STRINIC Ivan,1987-07-17,STRINIĆ,186,78
141,Croatia,4,FC Internazionale (ITA),FW,PERISIC Ivan,1989-02-02,PERIŠIĆ,186,81
142,Croatia,5,FC Lokomotiv Moscow (RUS),DF,CORLUKA Vedran,1986-05-02,ĆORLUKA,192,84
143,Croatia,6,Liverpool FC (ENG),DF,LOVREN Dejan,1989-05-07,LOVREN,188,84
144,Croatia,7,FC Barcelona (ESP),MF,RAKITIC Ivan,1988-10-03,RAKITIĆ,184,78
145,Croatia,8,Real Madrid CF (ESP),MF,KOVACIC Mateo,1994-06-05,KOVAČIĆ,178,78
146,Croatia,9,TSG 1899 Hoffenheim (GER),FW,KRAMARIC Andrej,1991-06-19,KRAMARIĆ,177,73
147,Croatia,10,Real Madrid CF (ESP),MF,MODRIC Luka,1985-09-09,MODRIĆ,172,66
148,Croatia,11,FC Internazionale (ITA),MF,BROZOVIC Marcelo,1992-11-16,BROZOVIĆ,181,68
149,Croatia,12,KAA Gent (BEL),GK,KALINIC Lovre,1990-03-04,L. KALINIĆ,201,96
150,Croatia,13,Bayer 04 Leverkusen (GER),DF,JEDVAJ Tin,1995-11-28,JEDVAJ,184,81
151,Croatia,14,HNK Rijeka (CRO),MF,BRADARIC Filip,1992-11-01,BRADARIĆ,186,78
152,Croatia,15,FC Red Bull Salzburg (AUT),DF,CALETA-CAR Duje,1996-09-17,ĆALETA-CAR,192,89
153,Croatia,16,AC Milan (ITA),FW,KALINIC Nikola,1988-05-01,N. KALINIĆ,187,81
154,Croatia,17,Juventus FC (ITA),FW,MANDZUKIC Mario,1986-05-21,MANDŽUKIĆ,190,85
155,Croatia,18,Eintracht Frankfurt (GER),FW,REBIC Ante,1993-09-21,REBIĆ,185,78
156,Croatia,19,ACF Fiorentina (ITA),MF,BADELJ Milan,1989-02-25,BADELJ,186,76
157,Croatia,20,FC Schalke 04 (GER),FW,PJACA Marko,1995-06-05,PJACA,186,83
158,Croatia,21,Besiktas JK (TUR),DF,VIDA Domagoj,1989-04-29,VIDA,184,76
159,Croatia,22,FC Dynamo Kyiv (UKR),DF,PIVARIC Josip,1989-01-30,PIVARIĆ,176,69
160,Croatia,23,AS Monaco (FRA),GK,SUBASIC Danijel,1984-10-27,SUBAŠIĆ,191,84
161,Denmark,1,Leicester City FC (ENG),GK,SCHMEICHEL Kasper,1986-05-11,SCHMEICHEL,190,92
162,Denmark,2,Deportivo La Coruña (ESP),MF,KROHN-DEHLI Michael,1983-06-06,KROHN-DEHLI,171,69
163,Denmark,3,VfL Borussia Mönchengladbach (GER),DF,VESTERGAARD Jannik,1992-03-08,VESTERGAARD,200,98
164,Denmark,4,Sevilla FC (ESP),DF,KJAER Simon,1989-03-26,KJÆR,191,84
165,Denmark,5,Ipswich Town FC (ENG),DF,KNUDSEN Jonas,1992-09-16,KNUDSEN,187,82
166,Denmark,6,Chelsea FC (ENG),DF,CHRISTENSEN Andreas,1996-10-04,CHRISTENSEN,192,85
167,Denmark,7,FC Kobenhavn (DEN),MF,KVIST William,1985-02-24,KVIST,185,80
168,Denmark,8,SV Werder Bremen (GER),MF,DELANEY Thomas,1991-03-09,DELANEY,180,78
169,Denmark,9,Feyenoord Rotterdam (NED),FW,JORGENSEN Nicolai,1991-01-15,N. JØRGENSEN,194,86
170,Denmark,10,Tottenham Hotspur FC (ENG),MF,ERIKSEN Christian,1992-02-14,ERIKSEN,181,76
171,Denmark,11,FC Girondins Bordeaux (FRA),FW,BRAITHWAITE Martin,1991-05-06,BRAITHWAITE,180,73
172,Denmark,12,AFC Ajax (NED),FW,DOLBERG Kasper,1997-06-10,DOLBERG,187,85
173,Denmark,13,Huddersfield Town FC (ENG),DF,JORGENSEN Mathias,1990-04-23,M. JØRGENSEN,191,85
174,Denmark,14,Brentford FC (ENG),DF,DALSGAARD Henrik,1989-07-27,DALSGAARD,190,81
175,Denmark,15,FC Kobenhavn (DEN),FW,FISCHER Viktor,1994-09-06,FISCHER,181,80
176,Denmark,16,Huddersfield Town FC (ENG),GK,LOSSL Jonas,1989-01-02,LÖSSL,195,90
177,Denmark,17,Udinese Calcio (ITA),DF,STRYGER LARSEN Jens,1991-02-21,STRYGER,182,82
178,Denmark,18,FC Girondins Bordeaux (FRA),MF,LERAGER Lukas,1993-12-07,LERAGER,186,85
179,Denmark,19,AFC Ajax (NED),MF,SCHONE Lasse,1986-05-27,SCHÖNE,178,80
180,Denmark,20,RB Leipzig (GER),FW,POULSEN Yussuf Yurary,1994-06-15,YURARY,193,84
